times,looking_binary,rmsVals,brightVals,roughVals,fluxVals,pitchVals
0,1,0.000206823396857899,NaN,0,0,NaN
0.5,1,0.0192722115552073,1920.23339377113,0.454914756282845,73.3010428227031,NaN
1,1,0.0309263660737812,1600.10922708423,7736.37321554987,372.690470030965,225.121755403113
1.5,0,0.0444789438666743,1387.09782407263,74598.0194438007,579.206166706736,737.526028192108
2,0,0.0431181011488023,1984.94161786652,13979.7474335338,517.882897268286,316.525319931356
2.5,0,0.0259833338919509,2473.40509029153,3085.32264831354,367.907687001816,259.706967027382
3,0,0.0228135138419324,7042.0774869287,3644.72032488079,348.136374234773,203.069453189518
3.5,0,0.025821233393675,1587.84929588981,7882.26340429906,392.551753342035,224.094976697673
4,1,0.0229314711297472,2791.62494047147,1202.29586231275,296.518631328691,NaN
4.5,1,0.0295848401766758,5390.00281039773,3777.8101915155,261.120324279576,272.616291971607
5,1,0.0301016182396401,4940.93676089969,7915.99222070524,416.514288552288,308.101671877356
5.5,1,0.015337625646383,5177.14773465775,822.040199962915,415.230254240777,NaN
6,1,0.0276349203779341,2534.78696104136,7378.96497710737,401.738844683326,674.204864691231
6.5,1,0.0343458653664149,1983.26321243484,16037.4766433181,323.273457974047,241.741910649436
7,1,0.041869491445038,3229.27028005259,4884.53716104618,303.815029854253,251.049819974012
7.5,1,0.0442891956001471,4453.20606840072,11771.5277382706,687.1394389236,640.199484001904
8,1,0.0377298527240168,5472.4075478507,35899.2842963727,614.880102814991,NaN
8.5,1,0.0309390540151125,3230.69678749224,14493.4602970948,410.723588594798,686.514551167218
9,0,0.0290456836229633,4571.52821341632,3676.21812174798,254.375980293472,234.309408593715
9.5,0,0.0286729665619578,2791.26294711018,7131.12734576426,186.743337801707,234.138692925466
10,0,0.0315045786953062,1729.97165420469,19976.4434549146,261.280036529852,NaN
10.5,1,0.0330469680859786,5671.40877481075,13177.9851748881,321.297149086175,321.689120861495
11,1,0.0200522139235239,4802.9015871456,4484.40391116883,328.215869809853,NaN
11.5,1,0.0134147220924692,2589.5373535659,722.505044711852,165.245738390578,NaN
12,1,0.033241573262624,2887.77233257728,637.657603528228,234.796241438184,246.548236472139
12.5,1,0.0348634892022496,1874.93175625439,15526.6952794417,395.060340117143,279.623081727074
13,1,0.0469290878596933,1912.16104836121,11501.9002201939,542.660817275695,264.917098483356
13.5,1,0.0478124475202079,2366.72256168791,20397.1269966998,414.480360291669,557.321975505256
14,1,0.0272715122341873,6176.84746229308,2681.77642239894,615.33816834379,208.62938747092
14.5,1,0.0326680803228529,1963.59678894771,9250.04310860988,414.158114419066,240.210025384715
15,1,0.0294531325239655,7782.24007739647,6731.6802363406,389.988303546834,276.472189645627
15.5,1,0.0211522852803127,4073.55104623949,12766.596002842,334.353897481531,668.763758793889
16,1,0.012542213028857,1525.31861095902,1219.42771098629,208.873478544779,756.792805006443
16.5,1,0.00846981832025069,1911.11179286188,82.7091659896154,132.570680286694,613.523971453975
17,1,0.0250639338534927,1851.84823534949,1154.34110332292,152.102299968254,NaN
17.5,1,0.0599193746088823,1717.22165926088,80500.0828104453,572.574178303077,787.114481593651
18,1,0.0745249664805191,1509.62627031829,103581.967466037,983.20938392334,732.679522036944
18.5,1,0.0503750331893306,1834.78633259787,3534.44370776244,680.051878969465,351.909850372196
19,1,0.0138160799446954,3373.38627549048,0,484.625781476415,NaN
19.5,0,0.0388467548836605,2335.05634848066,9263.5773528874,544.866508064937,350.255267606747
20,0,0.0590900532130907,1781.87100851583,20500.9987475717,263.803848576332,349.32051270943
20.5,0,0.0574375060466525,1825.09437618503,71991.9508519487,323.817674295373,357.575443489597
21,0,0.0441805927305154,1788.43344968374,20427.9102001781,450.73505642579,NaN
21.5,1,0.0374037092135368,2639.78899251194,39061.4702640757,225.930591542504,380.410685293562
22,1,0.0560232475598398,2176.76290298834,81099.8085154055,368.209498529123,394.603214241319
22.5,1,0.0773125597130316,1628.40526509233,59894.6481196456,446.74963529662,395.992855574288
23,1,0.0702144510797473,1640.12716744116,53666.7246417349,609.376411245377,394.305263087409
23.5,1,0.0655294543940573,2421.15333705167,49635.8682315117,969.849559570944,NaN
24,1,0.0694196555245034,1916.68254220323,17672.3783882441,524.282702841138,345.682214321052
24.5,1,0.0625996033999355,2223.87171812019,36853.7380147462,675.778186976453,384.641691017138
25,1,0.0624810130937393,1564.41047607067,49806.0461239589,667.170456789385,249.773723064669
25.5,1,0.0568753960230434,4658.12795754035,39974.868320341,458.192719541704,247.097823496692
26,1,0.0468092270940095,3971.22902904121,35455.0281551338,554.899602753279,291.271725163319
26.5,1,0.0392554961714456,2672.967602981,19237.548638384,440.82812284551,NaN
27,1,0.0504172503850023,2946.84182592669,8740.84855359315,421.493533231046,386.722025281576
27.5,1,0.0577391154446772,2590.52860541603,22697.1528697071,654.740861335761,386.203845720279
28,1,0.0532402940125475,2173.85984210849,41782.8306668362,1006.06095131553,426.559696699555
28.5,1,0.0644375051578178,1744.11524020627,89552.6151542982,483.26594721436,405.888514741134
29,1,0.0623342761982095,4487.03955425375,54977.5575787306,632.196836417986,344.509521087268
29.5,1,0.0410284031063349,3705.19804766501,31707.419006917,562.798730932506,327.975479823868
30,1,0.036240311478904,6578.26507003669,5091.81772396997,438.615335093135,333.682534668812
30.5,1,0.051305177167513,2132.25616181435,11174.0973690733,431.418783323942,327.137576741651
31,1,0.0575031687244537,5795.26853078631,35220.2293436858,507.373975624083,330.558488562284
31.5,1,0.056652161929121,4150.91489817077,20755.1896273163,444.413185928123,331.954806710407
32,0,0.0489537079645545,1997.12566137838,12063.0835009603,691.484944119027,319.762365774622
32.5,0,0.0366649199173656,2302.33119623172,7132.46414106825,524.0426263318,292.355930834852
33,0,0.0345512066639367,2900.55520959539,11272.3216284766,481.929505371433,260.455017182548
33.5,1,0.0414737527820547,4294.24454430882,11320.8552980527,614.856921387975,399.78046345342
34,1,0.0530174130679282,1737.52404045188,23884.4999893463,411.981809620224,446.428063335119
34.5,0,0.0433807450915175,2338.9138371796,12097.7244537867,414.051447988546,98.3839324323831
35,0,0.0363688050607804,4135.40177046183,1285.77760029699,400.113703079048,NaN
35.5,1,0.0583616939823452,2122.16812254843,53381.5038547689,853.688600073369,326.126753730998
36,1,0.0637001963024183,1827.15755142817,114277.33349125,797.429599977393,332.229458087917
36.5,1,0.0626943166767341,2346.82746254584,56377.5194693311,570.053197343644,247.534507723483
37,1,0.0654030550934375,1900.84702730802,72408.3957722186,720.049778684042,292.236337341635
37.5,1,0.0674342173951952,1936.03134075495,27215.6932349656,921.759157947524,335.9741745966
38,1,0.0637179995133153,5759.04568662887,18993.9335497742,544.489345769867,335.294774607177
38.5,1,0.05851389585571,3695.40453427703,22434.8373988368,900.914326517884,391.564890073345
39,1,0.0559146244843147,2168.98773560958,64260.6217943924,986.520731025236,442.927295839174
39.5,1,0.0617626251756038,1799.54942327463,59483.404162757,456.428730231823,411.464130071478
40,1,0.0603351181955961,4264.04612479568,24300.7390103426,479.425889534228,347.974016214935
40.5,1,0.0408732183330458,4545.54136882322,32083.581556887,607.018013405067,330.102327431514
41,1,0.046307652857116,6492.77590312006,5581.10630364966,495.631088306448,333.581767431607
41.5,1,0.0529388889425354,1602.39542553682,18340.2407607388,448.541302783476,333.846302427674
42,1,0.0441581005007816,2799.47736243228,10457.4985895276,469.764257000698,334.190307314226
42.5,1,0.0421616995734844,2844.57549102839,15745.4933700104,594.090557904076,390.584679002534
